MTU, Time, Power, Cost, Voltage
MTU1,05/11/2015 19:57:54,4.180,0.63,122.4
MTU1,05/11/2015 19:57:53,4.182,0.63,122.4
MTU1,05/11/2015 19:57:52,4.170,0.63,122.3
MTU1,05/11/2015 19:57:51,4.164,0.63,122.3
MTU1,05/11/2015 19:57:50,4.173,0.63,122.3
MTU1,05/11/2015 19:57:49,4.185,0.63,122.5
MTU1,05/11/2015 19:57:48,4.174,0.63,122.4
MTU1,05/11/2015 19:57:47,4.164,0.63,122.3
MTU1,05/11/2015 19:57:46,4.166,0.63,122.2
MTU1,05/11/2015 19:57:45,4.180,0.63,122.4
MTU1,05/11/2015 19:57:44,4.183,0.63,122.5
MTU1,05/11/2015 19:57:43,4.170,0.63,122.4
MTU1,05/11/2015 19:57:42,4.172,0.63,122.2
MTU1,05/11/2015 19:57:41,4.172,0.63,122.2
MTU1,05/11/2015 19:57:40,4.181,0.63,122.4
MTU1,05/11/2015 19:57:39,4.181,0.63,122.4
MTU1,05/11/2015 19:57:38,4.174,0.63,122.3
MTU1,05/11/2015 19:57:37,4.168,0.63,122.2
MTU1,05/11/2015 19:57:36,4.175,0.63,122.3
MTU1,05/11/2015 19:57:35,4.185,0.63,122.4
MTU1,05/11/2015 19:57:34,4.179,0.63,122.4
MTU1,05/11/2015 19:57:33,4.168,0.63,122.3
MTU1,05/11/2015 19:57:32,4.165,0.63,122.3
MTU1,05/11/2015 19:57:31,4.179,0.63,122.4
MTU1,05/11/2015 19:57:30,4.184,0.63,122.5
MTU1,05/11/2015 19:57:29,4.171,0.63,122.4
MTU1,05/11/2015 19:57:28,4.166,0.63,122.4
MTU1,05/11/2015 19:57:27,4.175,0.63,122.4
MTU1,05/11/2015 19:57:26,4.185,0.63,122.5
MTU1,05/11/2015 19:57:25,4.183,0.63,122.6
MTU1,05/11/2015 19:57:24,4.174,0.63,122.5
MTU1,05/11/2015 19:57:23,4.176,0.63,122.4
MTU1,05/11/2015 19:57:22,4.181,0.63,122.4
MTU1,05/11/2015 19:57:21,4.193,0.63,122.5
MTU1,05/11/2015 19:57:20,4.187,0.63,122.5
MTU1,05/11/2015 19:57:19,4.179,0.63,122.4
MTU1,05/11/2015 19:57:18,4.177,0.63,122.3
MTU1,05/11/2015 19:57:17,4.187,0.63,122.4
MTU1,05/11/2015 19:57:16,4.194,0.63,122.5
MTU1,05/11/2015 19:57:15,4.181,0.63,122.4
